OBS.,AGE,CHK_ACCT,SAV_ACCT,NUM_CREDITS,DURATION,HISTORY,PRESENT_RESIDENT,EMPLOYMENT,JOB,NUM_DEPENDENTS,RENT,INSTALL_RATE,GUARANTOR,OTHER_INSTALL,OWN_RES,TELEPHONE,FOREIGN,REAL_ESTATE,TYPE,AMOUNT_REQUESTED,CREDIT_EXTENDED,NPV
298,29,0,0,2,24,1,4,0,0,1,1,1,0,0,0,0,0,0,1,1193,954,-424
467,50,2,0,1,6,4,4,2,1,1,0,2,0,0,1,0,0,0,5,1047,523,73
415,23,3,0,1,21,4,4,1,2,1,0,4,0,0,1,1,0,0,3,2288,"1,830",389
476,55,3,3,2,12,3,4,4,2,2,0,4,0,0,0,0,0,0,0,1555,933,-545
615,39,0,0,2,6,4,4,4,2,1,0,1,0,0,1,1,0,0,1,860,688,111
706,31,3,0,2,36,4,2,2,2,1,0,2,0,1,1,0,0,0,4,9566,"7,652",1185
783,36,3,0,2,18,0,2,2,2,2,0,2,0,1,1,0,0,0,6,4165,"3,748",-3135
218,34,1,0,1,24,3,2,0,3,1,0,3,0,0,1,1,0,0,3,2064,"1,651",-882
630,20,3,4,1,12,2,4,1,2,1,1,1,0,0,0,0,0,0,2,4675,"2,805",673
392,28,3,3,1,11,2,2,4,2,1,0,1,0,0,1,1,0,1,6,2142,"1,499",344
835,34,3,1,2,6,3,2,2,1,1,0,1,0,0,1,0,0,1,6,1743,"1,045",135
472,27,1,0,1,60,2,2,3,3,1,0,4,0,0,1,1,0,0,1,14027,"7,013",-2463
168,31,3,1,2,36,2,2,3,2,1,0,2,0,0,1,1,0,0,6,5742,"5,742",1198
22,33,3,4,2,9,4,2,2,2,2,0,1,0,0,1,0,0,1,4,3074,"2,151",262
431,44,3,2,1,48,4,2,2,2,1,0,2,0,1,0,0,0,0,1,10127,"6,076",-2454
904,24,1,0,1,9,2,3,2,2,1,0,4,0,0,1,0,0,1,4,458,412,127
571,35,3,2,1,15,2,4,4,2,1,0,1,0,0,0,0,0,0,1,5324,"3,194",629
90,43,0,0,4,27,4,4,4,3,2,0,4,0,1,1,1,0,0,6,2442,"1,709",-10
268,42,3,0,1,60,2,4,4,3,1,0,2,0,0,1,1,0,0,1,10366,"7,256",1522
947,35,3,0,2,24,3,3,3,1,1,0,3,0,0,1,1,0,0,2,4679,"3,275",604
916,34,3,4,2,6,4,2,2,1,2,0,1,0,0,1,0,0,1,4,1898,"1,328",218
808,39,3,4,1,54,0,2,2,1,2,0,2,0,0,1,0,0,0,2,9436,"7,548",1677
287,35,0,0,1,24,2,4,1,2,1,0,4,0,0,1,1,0,1,4,2439,"2,195",-1208
207,61,1,0,1,36,0,4,4,3,1,0,4,0,0,0,1,0,0,6,1953,"1,562",-976
134,30,3,1,2,18,4,2,2,2,1,0,4,0,0,1,0,0,1,5,1864,"1,491",-1183
400,30,0,0,1,36,2,3,0,3,1,0,4,0,0,1,1,0,0,3,3959,"3,167",916
150,42,1,0,2,27,0,4,4,3,1,0,2,0,0,0,1,0,0,6,8318,"7,486",-5624
187,28,3,0,1,18,3,2,2,2,1,0,4,0,0,1,1,0,0,6,2169,"1,952",-1355
533,39,0,0,2,8,4,4,3,1,1,0,1,0,0,1,0,1,1,1,3398,"3,398",819
900,23,0,0,1,45,2,4,2,2,1,0,4,0,0,0,1,0,0,4,1845,"1,476",-884
907,25,3,4,1,36,2,4,2,2,1,0,4,0,0,1,0,0,0,4,2394,"1,436",283
870,24,3,0,2,18,4,2,2,2,1,0,4,0,0,1,0,0,0,4,1800,"1,440",233
282,24,0,0,2,36,4,4,3,2,1,0,4,0,0,1,1,0,0,2,9629,"5,777",-1853
215,27,0,0,1,27,2,2,2,3,1,0,3,0,0,1,0,0,0,4,3416,"3,074",922
898,47,3,0,2,24,3,4,4,1,2,0,4,0,0,1,0,0,0,1,2538,"2,284",-904
612,30,0,4,1,42,2,3,3,3,1,0,4,0,0,1,1,0,0,4,7174,"5,739",-3167
678,37,3,0,2,36,4,4,3,2,1,0,4,0,0,1,1,0,0,1,3535,"3,181",710
248,28,0,0,1,9,2,3,2,1,1,0,4,0,0,1,0,0,0,1,654,457,-188
171,46,0,0,2,48,4,4,4,2,1,0,4,0,0,0,1,0,0,2,6331,"5,697",-2024
456,67,1,0,2,9,2,4,3,3,1,0,4,0,0,1,1,0,0,5,1199,"1,079",215
636,49,3,4,1,12,4,4,4,2,1,0,1,0,0,1,1,0,1,4,2331,"1,165",228
891,46,3,0,2,15,3,2,1,1,1,0,1,0,0,1,0,0,0,2,3594,"3,594",824
462,22,3,0,1,18,3,1,3,2,1,0,4,0,0,1,0,0,1,3,1808,"1,265",-751
292,25,1,4,1,30,2,4,4,2,1,0,2,0,0,1,0,0,0,4,2991,"2,691",802
249,57,0,3,2,30,2,4,4,2,1,1,4,0,0,0,1,0,0,3,3622,"2,173",302
515,30,1,1,1,48,1,2,3,2,1,0,4,0,0,1,0,0,0,6,3566,"2,139",481
877,28,1,0,3,12,4,4,4,2,1,1,1,0,0,0,1,0,0,3,3617,"3,255",535
693,21,0,0,1,18,4,4,1,2,1,1,4,0,0,0,0,0,0,3,1049,944,286
88,40,3,2,2,36,3,4,3,2,1,0,2,0,0,1,1,0,0,3,7678,"4,606",682
553,30,1,0,2,26,2,3,1,2,1,0,2,0,0,1,0,0,0,2,7966,"4,779",456
181,48,1,0,2,18,4,4,4,1,1,1,3,1,1,0,1,0,1,4,1795,"1,615",282
278,36,3,0,1,21,4,4,4,3,1,0,1,0,0,1,1,0,0,2,3275,"3,275",880
776,39,2,4,2,15,4,4,2,2,1,0,3,0,0,0,1,0,0,4,1271,762,-256
429,37,1,1,1,24,4,2,1,2,1,0,4,0,0,1,1,0,0,1,3878,"2,326",563
41,39,3,0,1,18,2,4,1,2,1,0,3,0,0,1,1,0,1,4,1473,"1,473",430
543,21,1,0,1,18,2,3,2,2,1,1,1,0,0,0,1,0,0,2,2779,"1,667",394
290,38,0,0,2,12,4,4,2,1,1,0,4,0,1,1,0,1,0,1,2171,"1,519",261
288,26,0,1,2,24,4,1,3,2,1,0,4,0,0,1,1,0,1,6,1382,967,141
908,22,1,0,1,30,2,1,1,2,1,0,2,0,0,1,0,0,0,3,3832,"3,448",857
405,58,0,0,2,48,4,4,4,1,1,0,4,0,1,0,0,0,0,2,6143,"3,685",-1770
840,46,1,0,2,12,2,1,4,2,1,1,1,0,0,0,0,0,1,1,1223,856,-335
186,43,3,4,2,24,4,4,3,2,1,0,3,0,0,1,1,0,0,2,4042,"2,425",301
856,27,0,0,1,24,1,4,3,2,1,0,3,0,1,1,0,0,0,3,3552,"1,776",-894
586,33,3,1,1,24,2,3,1,2,1,0,4,0,0,1,1,0,1,1,1474,737,154
174,21,0,0,1,24,2,4,2,1,2,1,2,0,0,0,0,0,1,4,1987,"1,192",-693
378,52,3,1,2,24,4,4,4,2,1,0,4,0,1,1,0,0,0,4,2223,"1,333",188
488,29,0,0,1,12,2,2,2,1,2,0,2,0,0,1,0,0,0,3,3590,"3,231",881
827,45,0,0,1,14,2,4,4,3,1,0,1,0,0,1,1,1,0,1,8978,"7,182",-3830
752,23,3,0,2,36,4,4,1,2,1,1,2,0,0,0,1,0,0,3,7127,"4,988",-1596
626,35,3,0,2,24,4,2,2,1,1,0,4,0,0,1,0,0,1,4,2684,"1,342",106
343,34,3,1,2,21,3,3,3,3,1,0,4,0,0,1,0,0,1,3,1591,"1,431",249
389,65,3,0,2,18,4,4,0,0,1,0,4,0,0,1,0,0,0,4,1098,658,90
32,40,1,4,1,48,2,4,0,0,1,0,3,0,1,0,1,0,0,0,5381,"5,381",1768
707,22,1,3,1,12,2,1,2,2,1,0,4,0,0,1,0,0,1,1,1007,805,174
885,59,0,0,1,9,2,4,3,2,1,0,3,0,0,1,0,0,1,4,1364,"1,091",276
233,34,0,0,1,24,2,1,3,3,1,0,2,0,0,0,1,0,0,2,2910,"1,455",306
512,47,3,4,1,48,4,1,4,2,1,0,4,0,0,1,1,0,1,4,3578,"2,862",720
464,25,1,0,1,24,2,4,1,1,1,0,3,0,0,1,1,0,0,1,1355,948,-325
830,43,3,0,1,18,2,4,2,2,1,0,3,0,0,1,1,0,1,3,2515,"1,257",235
55,23,1,0,1,12,2,1,1,2,1,1,1,0,0,0,0,0,1,4,1534,920,-415
72,32,3,2,2,18,4,3,4,3,1,0,4,0,1,1,1,0,0,4,629,440,56
796,37,1,0,3,9,4,4,4,1,1,0,2,0,0,1,0,0,1,4,1154,692,41
272,46,3,4,1,21,2,4,4,3,1,0,4,0,0,1,1,0,1,2,2476,"1,733",453
690,28,0,0,1,21,2,4,1,3,1,1,4,0,0,0,1,0,0,4,2606,"2,084",507
18,33,0,0,2,15,0,3,4,2,2,1,4,0,0,0,0,0,0,1,950,570,-188
552,37,0,0,2,6,4,3,3,2,1,0,4,0,0,1,0,1,0,1,609,609,119
349,30,3,3,2,15,3,2,3,2,1,0,3,0,0,1,0,0,0,3,960,960,195
964,26,0,0,2,42,3,2,3,2,2,0,3,0,1,1,1,0,0,4,4370,"3,933",-1461
266,45,0,0,1,24,2,1,4,2,1,0,4,0,0,1,0,0,1,1,2303,"2,072",-968
621,43,3,0,3,12,4,4,4,2,1,0,4,0,0,1,1,0,1,3,1935,"1,548",124
576,32,0,4,1,24,2,4,3,2,1,1,4,0,0,0,0,0,0,1,1285,"1,156",-424
734,24,0,4,1,15,2,2,2,2,1,1,4,0,0,0,0,0,0,0,1275,637,-222
760,36,1,0,3,24,0,4,2,1,1,0,1,0,0,1,1,0,1,6,4241,"3,816",-2676
377,30,3,4,1,21,4,4,4,3,1,0,4,0,0,0,1,0,0,1,12680,"6,340",-2703
121,27,0,0,1,12,2,3,2,1,1,0,4,0,0,1,0,0,1,1,1168,934,251
824,35,3,0,2,12,4,2,2,2,1,0,4,0,0,1,0,0,0,4,1291,903,173
790,35,3,3,1,12,4,2,3,2,1,0,3,0,0,1,0,1,0,3,1592,955,167
172,35,0,0,1,6,1,4,4,2,1,0,4,0,0,0,0,0,0,5,1198,838,-590
6,29,1,4,1,24,3,2,1,1,1,0,4,0,1,1,0,0,0,3,2333,"1,866",480
196,24,0,0,2,36,3,1,3,2,1,0,2,0,0,1,1,0,0,6,2145,"1,072",-673
932,27,0,0,2,15,3,4,4,1,1,0,1,0,0,1,0,0,0,3,3643,"3,643",855
43,20,3,3,1,15,2,3,3,2,1,1,2,0,0,0,0,0,0,1,3186,"3,186",862
845,55,2,4,1,12,2,4,4,3,1,0,3,0,0,1,1,0,1,3,1424,854,199
364,19,3,0,2,9,2,2,1,2,1,1,2,0,0,0,0,0,0,3,1980,"1,188",-398
759,21,0,0,1,12,2,1,2,1,1,0,4,1,0,1,0,0,0,3,1289,773,133
124,51,3,2,1,9,2,4,4,1,1,0,2,0,0,0,0,0,0,1,2507,"1,504",262
274,44,1,0,1,8,2,2,3,1,1,0,4,1,0,1,0,0,1,4,760,608,135
225,24,0,0,2,48,0,4,4,2,2,0,3,0,0,0,0,0,0,2,4605,"3,684",-1645
529,35,0,0,1,47,2,1,1,1,1,0,1,0,0,1,1,0,1,1,10722,"9,649",2569
801,61,3,3,1,12,2,4,3,1,1,0,2,0,0,1,0,0,1,4,3059,"2,447",540
300,23,0,4,2,18,2,4,3,1,1,1,2,0,0,0,0,0,0,4,1936,"1,936",504
943,55,0,0,3,18,4,4,0,0,2,0,2,0,0,0,0,0,0,0,1190,833,-394
48,22,1,1,1,24,2,2,1,2,1,1,3,0,0,0,1,0,0,4,3092,"1,546",-790
162,48,2,1,1,10,2,4,4,1,2,0,1,0,0,0,0,0,0,1,1240,744,-409
925,22,3,0,1,18,2,4,0,2,1,1,3,0,0,0,0,0,1,4,433,346,-116
570,50,3,2,1,6,2,4,2,2,1,1,2,0,0,0,0,0,0,2,1236,988,243
625,52,3,0,3,12,4,4,4,2,1,0,4,0,0,1,0,0,1,4,717,573,79
264,23,1,4,1,15,2,1,1,2,1,0,4,0,0,1,0,0,0,4,1444,"1,010",194
9,44,3,4,2,24,2,1,1,2,1,0,1,0,0,1,1,0,0,4,5943,"5,943",-1826
457,37,1,4,2,24,3,2,2,3,1,0,4,0,1,1,1,0,0,6,4712,"3,298",437
854,42,0,0,1,48,2,4,4,3,1,0,4,0,1,0,0,0,0,1,7763,"5,434",-2226
334,24,3,1,2,48,4,4,2,1,1,1,2,0,1,0,0,0,0,2,11590,"11,590",-4476
899,29,0,0,1,24,2,2,0,3,1,0,4,0,0,0,1,0,0,2,6579,"3,947",794
952,36,3,4,2,6,4,4,4,2,1,0,4,0,0,0,0,0,0,4,700,350,29
372,25,0,0,2,9,4,4,2,1,1,0,4,0,0,1,0,0,1,4,1138,682,103
829,49,1,0,2,12,2,4,2,2,1,0,4,1,0,1,1,0,1,4,1092,764,94
540,32,1,1,1,39,3,3,3,2,1,1,2,0,0,0,1,0,0,5,11760,"7,056",1248
566,22,0,0,1,14,2,4,0,2,1,0,1,0,0,0,0,0,0,1,3973,"2,781",536
728,49,0,4,1,12,2,4,4,1,1,0,2,0,0,1,1,0,0,3,1262,"1,262",436
409,52,0,0,1,10,2,4,4,1,1,0,3,0,0,1,0,0,1,4,2315,"2,083",648
980,35,1,4,1,9,2,2,1,0,1,0,4,0,0,1,0,0,1,1,1549,929,192
227,36,0,0,3,18,4,4,4,3,1,0,2,0,0,0,1,0,0,1,5302,"4,771",564
969,31,0,3,1,12,2,3,2,2,2,0,1,0,0,1,0,0,0,1,3651,"3,285",882
365,33,3,0,2,24,4,2,3,2,1,0,4,1,0,1,1,0,0,4,1851,"1,665",365
159,49,1,0,2,12,4,3,1,1,2,0,1,0,1,1,0,0,1,1,3124,"3,124",616
242,42,3,0,2,12,4,2,0,3,1,0,4,0,1,1,1,0,0,6,2292,"2,292",-1437
855,24,0,0,1,12,1,4,2,1,1,0,4,0,1,1,0,0,1,4,626,563,-231
479,60,1,4,1,20,2,4,0,3,1,0,1,0,0,1,1,0,1,2,6468,"6,468",2006
116,38,3,0,1,10,2,4,2,2,1,0,1,0,0,1,1,1,0,4,1924,"1,539",381
418,26,0,0,2,21,3,1,1,2,1,0,2,0,0,1,0,0,0,5,3414,"2,048",-1278
338,63,3,4,1,60,4,4,4,3,1,0,2,0,1,0,1,0,0,1,13756,"8,253",1802
520,34,1,0,2,9,4,3,4,3,1,0,2,0,0,1,1,0,0,5,1501,"1,200",-764
593,46,0,0,2,12,1,2,1,2,1,0,4,0,1,1,1,0,0,1,697,348,-173
149,26,1,0,1,24,2,1,1,2,1,0,4,0,0,1,0,0,0,1,1201,720,165
112,23,2,0,1,15,2,4,1,2,1,1,4,0,0,0,1,0,0,5,392,352,91
881,55,1,0,1,42,1,2,0,3,1,0,1,0,1,0,1,0,0,2,9283,"8,354",2423
764,21,3,0,2,60,3,4,3,2,1,0,2,0,0,1,1,0,0,4,15653,"7,826",937
591,20,0,0,1,12,2,2,2,3,2,1,2,0,0,0,1,0,1,4,1107,885,208
214,27,3,0,2,15,2,3,1,1,1,0,2,0,1,1,0,0,0,3,2708,"1,354",151
811,30,0,4,1,24,2,2,1,2,1,0,1,0,0,1,1,1,0,3,7721,"4,632",993
712,27,0,4,2,10,4,3,1,2,1,1,2,0,0,0,0,1,1,3,2132,"1,492",229
75,32,0,1,1,24,1,3,3,2,1,0,2,0,1,1,0,0,0,1,2325,"1,627",356
173,24,1,3,1,6,1,2,1,2,2,1,4,0,1,0,0,0,0,5,433,389,-328
223,30,3,0,2,12,2,2,2,2,1,0,4,0,1,1,0,0,1,4,707,565,90
346,35,3,0,1,24,2,4,4,3,1,0,4,0,0,1,1,0,0,2,2670,"1,869",424
844,65,0,0,2,42,4,4,0,0,1,0,4,0,0,1,0,0,0,0,3394,"2,036",258
350,38,1,4,1,6,2,4,4,2,1,0,4,0,0,1,0,0,0,4,368,257,63
768,24,1,1,1,72,2,2,2,2,1,0,2,0,0,1,0,0,0,4,5595,"3,916",-2321
381,35,3,4,2,12,4,4,4,2,1,0,4,0,0,1,0,0,0,4,976,488,52
180,41,3,4,1,24,2,4,4,3,2,0,3,0,0,1,1,0,0,2,6313,"6,313",2196
641,43,3,4,2,24,4,4,3,2,2,0,4,0,0,1,1,0,0,2,2197,"1,098",139
758,33,3,4,2,24,4,2,2,2,1,0,3,0,0,1,1,0,0,5,1927,"1,156",193
965,40,0,0,1,12,2,4,2,1,2,1,4,0,0,0,0,0,0,5,684,615,-487
138,33,3,0,2,18,4,4,4,2,1,0,3,0,0,1,1,0,0,4,6070,"4,249",758
351,38,1,1,2,24,4,4,1,2,2,0,4,0,1,1,0,0,0,4,1216,972,-481
141,28,1,4,2,18,4,4,2,2,1,0,4,0,1,1,0,0,1,6,1887,"1,698",312
295,31,3,4,1,24,2,2,3,2,1,0,4,0,1,1,1,0,0,3,929,557,123
732,48,1,4,1,24,2,4,2,1,1,0,1,0,0,1,1,0,0,3,4351,"3,045",663
122,45,3,4,1,36,2,4,4,1,1,0,2,0,0,1,1,0,1,4,3835,"2,301",458
723,53,0,0,1,12,2,4,4,3,1,0,4,0,0,0,1,0,0,3,7865,"5,505",-2364
580,22,3,1,1,9,2,4,1,2,1,1,2,0,0,0,0,0,0,3,2301,"2,301",722
166,37,1,0,1,12,2,2,2,1,1,0,4,0,0,1,0,0,0,3,1922,"1,345",-494
903,63,0,0,2,60,3,4,4,2,1,0,3,0,0,1,1,0,0,6,6836,"3,418",-2339
654,75,0,4,1,6,2,3,0,3,1,0,4,0,0,1,1,0,0,1,1374,"1,374",440
698,64,1,0,1,6,2,3,2,2,1,0,2,1,0,1,0,0,1,4,753,376,69
939,27,3,0,2,9,2,2,3,2,1,0,3,0,0,1,0,0,0,6,1449,"1,159",200
299,28,2,1,1,21,2,1,2,3,1,0,1,0,1,1,1,0,0,1,2923,"1,753",357
961,45,3,4,1,15,2,4,4,2,2,0,4,0,1,0,0,0,0,2,1300,780,130
705,23,0,2,1,6,2,2,0,0,1,1,1,0,0,0,1,0,0,2,1352,811,141
878,38,3,3,2,36,4,2,4,3,1,0,4,0,0,1,1,0,0,2,5711,"4,568",987
778,25,0,0,1,18,2,1,3,2,1,0,4,1,0,1,0,0,1,4,3509,"2,105",502
492,31,0,0,1,24,1,2,2,2,1,1,4,0,0,0,1,0,0,6,3161,"3,161",-2801
419,36,1,0,1,18,4,4,4,2,2,0,4,0,1,1,1,0,0,1,884,442,-134
872,31,2,4,2,24,4,2,2,2,1,0,3,0,0,1,1,0,0,4,3148,"1,574",135
96,40,1,0,3,18,4,3,0,0,2,0,3,0,0,1,1,0,0,6,3590,"2,872",343
977,63,3,0,2,12,4,4,4,1,1,0,2,0,0,1,1,0,1,4,1655,"1,489",288
677,31,0,0,1,30,2,4,1,1,1,0,2,0,0,1,0,0,0,3,3108,"2,797",-1444
178,25,0,0,2,36,4,2,2,3,1,0,3,0,0,1,1,0,0,5,8065,"4,839",-3043
279,31,1,0,1,12,0,2,2,1,1,0,2,0,0,1,1,0,1,0,1410,846,161
60,58,0,0,4,12,4,3,3,1,1,0,4,0,0,1,1,0,1,4,385,308,19
578,25,0,4,1,24,2,4,2,2,1,1,4,0,0,0,0,0,1,1,1371,"1,096",-388
449,44,3,2,1,12,4,4,2,2,1,0,4,0,0,1,1,0,1,1,1163,814,193
779,38,3,4,2,48,4,3,4,2,2,0,4,0,0,1,1,0,0,2,2751,"1,925",361
327,57,3,0,3,12,4,4,4,1,1,0,2,0,1,0,0,0,0,5,2748,"1,648",115
2,25,1,0,1,12,2,1,1,2,1,1,3,0,0,0,0,0,0,1,1295,"1,165",-473
941,28,2,2,3,12,4,2,3,2,1,0,4,0,0,1,1,0,1,1,939,751,-250
513,30,0,0,2,12,4,2,2,2,1,0,4,0,0,1,0,0,0,1,2121,"1,908",349
